title,channel,views,likes,mentions_atomberg,sentiment
Atomberg BLDC Ceiling Fan ğŸ’¸ This Fan Saves â‚¹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,318984,2588,True,0.09776942355889724
"Atomberg Studio Stainless Steel 150mm BLDC Exhaust Fan | High Speed, Silent &amp; Only Consume 7.5W ğŸ¤‘",Sumit Jaiswal - PRONIX,2171786,12942,True,0.10135869565217394
Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,Electrical Electrician Wireman,1650705,26138,True,-0.03335303585303584
atomberg bldc pedestal fan installation,KelviN  KitcheN  SmarT,35050,410,True,-0.051020408163265314
Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,489563,2517,True,-0.09637741046831955
Atomberg bldc fan installation / bldc ceiling fan installation / atomberg ceiling fan fitting #home,Anand Tech solutions,2331063,24718,True,0.23113285634118969
Atomberg BLDC Ceiling fan Sleep Mode Use #atombergfan #renesa  #bldcfan Atomberg Fan remote function,Lighting Adda,344588,1135,True,-0.04333333333333332
atomberg bldc ceiling fan installation / atomberg bldc fan fitting  #atomberg #bldcfan #ceilingfan,Anand Tech solutions,208097,2173,True,0.0
What&#39;s The BEST Mixer Grinder in India 2025 For Your Kitchen Budget |,Mixer Mitra,1093,1,False,0.0
BLDC Vs Normal Pedestal Fan Of Atomberg &amp; Luminous | Quick Comparison ğŸ§,Sumit Jaiswal - PRONIX,1295361,9219,True,0.06621043592706728
Atomberg Renesa 1400mm,AMARDEEP Toor,3301913,31180,True,-0.10374167203954437
Atomberg Stand Fan with Remote âœ… Best in the Market ğŸ‘ŒğŸ»ğŸ’¥ Quality Product ğŸ”¥ #atomberg #pedestalfan,Unikk Nazz,33180,148,True,-0.13333333333333333
Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,1410225,5184,True,-0.2093995510662177
#electrician how to assemble ceiling fan #atomberg Renesa 1200mm  Star Rated Sleek Ceiling Fans,K.S electrical ,607926,0,True,-0.2
Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,2515836,22685,True,0.03913832199546487
Atomberg Renesa Enzel 1200mm BLDC Ceiling fan #viral #youtubeshorts #atomberg #amazon #kerala,SNN Vlogs ğŸ¥,124890,959,True,-1.0
Atomberg renesa enzel 1200mm bldc ceiling fan with remote control #atombergfan #atomberg,VISHAL GUPTA JI,10460,63,True,0.0
Atomberg Renesa Helo Smart Bldc Fan â„ï¸ğŸŒªï¸ #fan #shorts #atomberg #smart #bldc,Travel with Sajal,16731,93,True,0.6
atomberg Renesa Prime 1200mm BLDC Ceiling Fan with Remote Control || Load Testing || RPM Testing,Tanu Superstar,70874,568,True,0.0937735326688815
Atomberg Renesa Prime RPM350ğŸŒªï¸ #atomberg #shorts #fan #bldcfan,Travel with Sajal,16944,77,True,0.0
